frames,Rg,degrees,mean_curv,max_curv_monomer,max_curv,min_curv_monomer,min_curv,turning_number,winding_number,density
100.0,13.502805887972723,-80.75332064713716,25.0428,1,105.48856,36,0.81284,-0.0314075422297585,0.0182525818654342,0.08729152540701612
101.0,13.517859544001192,-79.79818169224444,25.68216,1,96.79883,36,0.96648,-0.0019625233618982,0.0206162798880058,0.08709721580962153
102.0,13.542477993161995,-76.04801225366299,24.13306,1,90.07487,30,1.61022,-0.0105144570789957,0.0301472921476724,0.08678084100069863
103.0,13.47478211288381,-73.13415418460308,25.10002,48,87.74817,38,0.44879,0.0044471118021101,0.0386895306713184,0.08765498684184998
104.0,13.49210352317784,-77.00212263327934,27.88799,48,92.15648,16,0.66494,0.0050992074750829,0.0289843233027073,0.08743006514999416
105.0,13.43425593251686,-88.13291920882773,28.05117,1,95.62752,36,2.93049,-0.0037915525499158,-0.0009934007692678,0.08818462984479268
106.0,13.425440985956502,-83.39390238684697,26.5315,3,89.20695,17,0.96255,0.0118066163435273,0.0120069004854114,0.08830046931647179
107.0,13.448090148932328,-93.82843692935792,27.14262,1,104.08042,24,0.14321,0.0102416406200236,-0.0155806158159118,0.08800328993055569
108.0,13.432172360578846,-99.11646485769496,26.77037,3,99.4009,12,0.81736,0.0282068486592778,-0.0298335153850161,0.08821199001644509
109.0,13.435978694327847,-91.17018085341378,26.36543,3,85.44918,6,0.77821,0.0707301090624603,-0.0083540102732198,0.08816201721992888
110.0,13.416573473707162,-87.3152630932412,26.43545,3,95.85381,28,3.46024,0.1109095734380507,0.0018410042874071,0.08841723001599658
111.0,13.403131259019236,-86.48576862707698,27.67981,3,104.08451,38,0.09379,0.0191280810690982,0.0033364016869779,0.08859466905760012
112.0,13.399062047502207,-81.47901515805148,25.60148,3,102.28696,17,1.73663,0.0622656114884689,0.0172266512641225,0.08864848852478144
113.0,13.435305763869506,-97.11434795089016,21.88628,1,95.74015,34,0.443,0.0209208378581171,-0.0261652747735978,0.08817084893443451
114.0,13.408775217796732,-92.36428493171027,21.52772,3,91.6519,28,0.02,0.0712868315067044,-0.0126463857312004,0.08852010304870975
115.0,13.394635188280317,-98.15388850045214,24.8935,1,98.69204,33,1.38101,0.0745293991455321,-0.0284738261744157,0.08870709396228754
116.0,13.361353228407896,-92.75706104885812,25.70016,3,94.6583,19,0.00197,0.0504801940751101,-0.0139042712453185,0.08914956755139407
117.0,13.37399368727506,-105.00946930514353,23.97907,1,100.89934,25,0.64435,0.0383421621389568,-0.0476451664279825,0.08898112737921171
118.0,13.389029471221177,-113.85841516154905,27.01207,1,120.29847,18,1.13156,-0.0061060221130056,-0.0724142973671607,0.08878138926035575
119.0,13.362599504638291,-112.40998605917252,26.6628,1,114.16117,18,0.72491,0.0537938683374221,-0.0685582532614285,0.08913293907939779
120.0,13.332244406494311,-113.36363535942236,25.77796,1,118.53068,24,0.38127,0.0921271706413386,-0.0709511197156321,0.08953928015076769
121.0,13.327465887552378,-122.8309279028741,26.52506,1,106.50549,28,0.67318,0.0425812585133092,-0.0972584146714658,0.08960349968877689
